token_id	token_text
114803	వ్వు
114821	 జరుగు
115195	రూ
115262	 నట
115268	చన
115515	ావ
115589	స్తూ
115610	ితి
115617	 భారత
115666	 స్ప
115839	కుల
116005	 కె
116033	దాయ
116085	 శి
116137	ాను
116779	 హైద
116791	రోగ
116815	 తరు
117044	యత్
117089	 అంటే
117266	 ఊ
117352	 మద్య
117428	మార్
117770	 అవకాశ
117799	 కేంద్ర
117810	 సందర్భ
118072	 ఎంత
118167	సుకొ
118185	్రే
118228	 ప్రయత్
118563	 శక్తి
118680	 ప్రత్యేక
118775	 తర
118776	 మండ
118777	 ధర
118923	ాలలో
119287	ార్థ
119289	 విడు
119353	ర్కొ
119420	 పర
119421	 అనేక
120245	 విజయ
120334	 పేరు
120481	ంత్రి
120500	 సహాయ
120628	ద్ర
120908	ంత్ర
120942	 ప్రభుత్వం
120987	 బ్రిటి
121111	 ఏర్ప
121447	 ఉపయోగ
121610	కూ
121669	జేపీ
121704	ర్చు
121752	 బాగా
121754	తోంది
121788	 దీంతో
121953	 మూవీ
121981	రిగి
122254	ృద్ధి
122395	రువు
122396	ర్లు
122449	 తెలిపారు
122534	ృష్టి
122549	 నేను
122828	 సమస్య
122997	 జట్టు
123037	 ఇండి
123050	్రె
123159	 వాటి
123296	ణా
123456	స్తోంది
123511	హ్
123528	 ప్రారంభ
123746	 చేప
123957	బో
124079	 ఉన్నాయి
124126	ళ్లి
124161	 స్వ
124228	మాల
124246	ంటారు
124275	క్స్
124578	నికి
124611	 పద
124718	 బ్యాం
124999	 సంస్థ
125373	తంగా
125448	 ప్రజ
125469	వచ్చు
125625	ంతి
125680	ంధ్ర
125714	 జగ
125789	 జిల్లా
125924	 అన్నారు
126301	ణి
126638	 సర్
126830	స్తారు
126980	 అవు
127206	 ఇతర
127468	డియో
127523	 దేవ
127683	లోకి
127697	 పాల
127812	ంలోని
127865	ాయని
127883	పాటు
127896	 వార
128397	నో
128521	మని
128524	శా
128729	 దాని
129156	 సంవ
129177	 వద్ద
129192	 శరీ
129223	 మొదటి
129439	 తరువాత
129609	 ఉండే
129709	 ఇందు
129729	ఫీ
129839	ించడానికి
129914	 మహి
129995	జ్ఞ
130206	హం
130329	ర్చ
130334	 కాదు
130458	్ఞ
130749	్యాచ్
130753	వారి
130760	 సిద్ధ
130769	పంచ
130834	 సంవత్స
131048	 అమ
131136	 తెలియ
131166	 మహిళ
131182	 ఎక్కువ
131340	 సాహిత
131396	జె
131651	దర్శ
132113	వారు
132269	 పాల్
132357	షే
132388	కంగా
132394	కుడు
132631	 ప్రధాన
132640	 భూ
133402	 ఆర్
133421	 అన్ని
133434	రోజు
133622	ందే
133697	షు
133790	గల
133817	 జ్ఞ
133863	నున్న
134092	గిన
134115	మన్
134191	 అధ్య
134264	వ్య
134273	 సమావేశ
134383	 బీజేపీ
135215	ధం
135586	 ఇంకా
135670	పడు
135687	 పలు
135781	డీపీ
135874	 జీవిత
135920	 అల
135991	వై
136127	 విడుదల
136146	 విద్య
136217	 నిర్వ
136333	టే
136418	శి
136707	 కృ
136715	తున్నారు
136807	ంగ్‌
136961	యే
137069	నర్
137678	 వల్ల
137831	 అంటూ
138043	క్త
138044	 రాయ
138189	 టై
138267	 చక్క
138293	రుగులు
138438	 గ్ర
138580	 మాత్రం
138639	 జా
138721	 పుస్త
139038	 ఆల
139055	 ఇంత
139138	బీ
139355	ించడం
139398	ారో
139471	 చిత్రం
139519	ర్థిక
139578	 వెంట
139613	కరించ
139648	ధిక
139748	 ఆరోగ
140027	వన్
140047	ెంబ
140116	 మాత్రమే
140301	రగ
140573	 విషయ
140615	 థ
140691	 ఉన్నారు
140919	న్‌లో
140991	 పట్ట
141092	 టీడీపీ
141259	భా
141374	 మూడు
141552	 ఎం
141618	 పెట్ట
141639	ారీ
141946	 సీఎం
142032	ంటున్నారు
142233	టం
142583	వ్ర
142587	ధు
142600	గర
142697	టా
142751	 ప్రభుత్వ
142785	మణ
142989	 పాల్గొ
143085	 నాయ
143352	బి
143361	 సభ్య
143386	 వచ్చిన
143813	 ఎన్ని
143976	ాలతో
143978	 విని
144297	సింది
144783	ాతీయ
144787	పర్
144860	 భాష
144888	 సందర్భంగా
144998	 నియ
145006	తాయి
145042	ణాలు
145052	 అన్న
145148	 ఆర్థిక
145220	డాది
145278	ల్ప
145566	 నాకు
145987	 ప్రపంచ
145999	క్షి
146465	ాతం
146486	 అలాగే
146492	 బాల
146597	బాబు
146600	 ప్రస్తు
146785	ణం
146853	 ఉత్త
146990	ంతా
147044	 సంవత్సర
147110	 టా
147236	 దు
147249	 చెప్పారు
147294	డింది
147315	మం
147381	టింగ్
147401	త్ప
147487	లోనే
147488	స్సు
147489	 కుటు
147700	 రహ
147714	 కార్యక్ర
148034	లువ
148042	 పూ
148149	 లె
148388	 అయ్య
148393	ర్రీ
148569	ములు
148714	 ఫి
148736	 వచ్చింది
148795	 అదే
148833	కపో
148886	 మొత్త
149002	ళి
149005	 మారి
149114	 ప్
149149	స్తాయి
149154	 కొన
149196	ినీ
149262	రెడ్డి
149525	 జన
149634	 మీడి
149639	ాన్
149679	 చేస్తుంది
149748	ార్లు
149789	 సంగ
149860	 పరిస్థ
150080	 విధ
150122	సర
150174	 గే
150221	 ఉంటాయి
150249	 కనిప
150282	ాము
150339	క్షన్
150801	 మాట్లాడు
150848	 కుటుంబ
150898	 ఇందులో
151039	 ఎమ్
151266	 ఆహ
151275	్వర
151311	ట్టిన
151354	 బ్లా
151371	 చెబు
151477	 బో
151863	 డై
152065	 తీవ్ర
152253	నె
152281	రాబాద్
152517	 చిన్న
152520	ఎస్
152579	ట్స్
153046	 నిజ
153181	ల్య
153657	యాన్ని
153671	రంగ
153677	స్ప
153876	 తేదీ
153929	 పెరుగు
154014	లుగు
154078	గో
154253	 అధికారులు
154330	 స్టార్
154355	 తగ్గ
154441	 లు
154611	్యంలో
154861	 విభ
154900	గం
155442	 సమయంలో
155529	పథ
155809	 విశ్వ
155891	 క్యా
155923	లుగా
156019	 తనకు
156082	 నమో
156137	కున్నారు
156165	ష్య
156204	నించ
156331	పాల
156420	 ఎదు
156503	 వైర
156666	 దశ
156702	క్ష్
156709	 జరిగింది
156717	 ఫో
156721	ట్స్‌
156753	 స్వా
157026	ప్పటికీ
157173	 చంద్ర
157181	 అక్క
157339	 అధ్యక్ష
157782	సై
158378	 హా
158426	కుని
158456	టకు
158465	వృద్ధి
158535	నులు
158560	 రాజు
158763	 నాగ
158908	 స్థితి
159011	బ్బు
159162	ల్లు
159227	 కళ
159271	ఫ్‌
159356	 శు
159818	పూర్
159901	 అందించ
160116	 ఇంటి
160311	పతి
160449	ణు
160560	ందా
160561	 మ‌
160662	 ఎమ్మె
160667	 ప్రకట
160750	 అరుణ
160798	 పేర్కొ
160876	ించాలి
161025	 చేసుకోవ
161069	 పాట
161178	డయ
161213	 ఆంధ్ర
161252	దయ
161370	 నిర్వహ
161569	రిత్ర
161645	 ప్రశ్
161731	వం
161811	 యుద్ధ
161941	 ట్ర
161990	ందో
162199	న్యూ
162426	 రిలీ
162438	 నిర్ణ
162633	 వ్యక్తి
162659	ంతరం
162748	 చేస్తున్న
163094	 చేయడానికి
163250	 గొప్ప
163271	 ఎలాంటి
163382	జ్‌
163771	దారు
163839	లన
163956	కార
164026	వడం
164050	 చూడ
164128	 గుర్త
164218	ెర
164314	సె
164408	 ఉత్ప
164468	గానే
164861	యన్
164874	 ఛ
164954	టికి
165179	విద్య
165206	 అలీ
165377	 మంత్రి
165418	రీలు
165682	 అవకాశం
166338	 పనిచే
166347	 వీడియో
166450	 నేపథ
166483	 తయ
166499	 జాగ
166592	ామని
166599	ట్‌లో
166748	జ్య
166781	ంటర్
166839	 పరీ
167147	 తెర
167176	 ఎవ
167391	 అతని
167470	ార్క్
167492	ర్యా
167703	 బయ
168010	దన
168272	జాగా
168278	లపై
168520	 మాట
168967	 వు
169021	 ఆదాయ
169093	 శరీర
169160	ములో
169211	చె
169322	కోండి
169549	బ్యా
169653	 రిడి
169747	 ఉద్య
169798	మూ
169906	 భారీ
170020	 ప్రమా
170086	 క్ష
170192	 చరిత్ర
170258	సో
170386	మెంట్
170394	ేశారు
170497	ఆర్‌
170682	ద్దు
170777	 దూర
170880	ంగళ
170927	ితో
170975	 కలిగి
171072	 ఇటీ
171374	ోతి
171385	 పొంద
171623	హా
171675	 ఏద
171677	 వెం
171734	న్నో
171774	్యాన్ని
171946	 అయిన
172186	 మీడియా
172227	 ఆదేశ
172268	 ట్రా
172418	 ఏడాది
172445	 పరుగులు
172495	 వారికి
172517	 మండల
172682	క్షణ
172771	 కార్డు
172920	 ఎన్నిక
172977	 ఇన్
172990	రాజు
172993	 చేయడం
173030	ల్యే
173237	 పిల్ల
173326	వో
173366	ముఖ
173422	లూ
173454	 తమి
173720	శ్వ
173915	 పెట్టు
173999	 ఖాత
174035	 తొలి
174240	బాటు
174488	రిక
174507	కునే
174823	 ఆగ
174874	 విషయం
174882	 వెంటనే
174884	ధీ
175006	 తీసుకోవ
175289	 సాహిత్య
175626	 ఇవ్వ
175635	 పరీక్ష
175642	 జి
175936	 మాన
175978	చేసిన
176171	 ప్రస్తుతం
176193	 పుష్
176196	 వచ్చి
176302	 మరింత
176456	ందం
176486	 నమోదు
176537	ంబే
176673	 ఎమ్మెల్యే
176722	 సన్ని
176743	 సే
177059	 ఆరోగ్య
177152	 కీల
177328	 అర
177379	ఎస్‌
177431	మవు
177444	బె
177479	 అత్య
177508	ేష్
177623	ప్తి
177669	 వ్యక్
177719	 మార
177745	 లై
177969	నాలను
178332	పే
178442	స్త్ర
178929	ంగు
179169	 నాలు
179269	కాలు
179466	ల్ని
179489	 ఆలో
179650	 ఏర్
179714	టమి
180168	 అవి
180353	 వివా
180594	మయ్య
180773	కీయ
181066	 తెలిసి
181200	స్టు
181393	 గవర్
181400	డుగు
181537	ాలయ
181567	బ్ర
181577	బడు
181711	పూ
181735	 భాగంగా
181829	ళ్ళు
181873	ంబేద్
181951	మ్ము
182041	హు
182197	 జాగ్ర
182339	 వర
182470	సర్
182503	 అభివృద్ధి
182692	 ఫలి
182749	మారు
182769	నిక
182770	 యే
182812	 మద్యం
183037	 తగ్గి
183053	ంటీ
183077	ండు
183157	 కీలక
183309	 ఆఫ్
183369	గాలు
183588	 దృష్టి
183805	 రిడిల్
183806	ంబేద్కర్
183807	ట్స్‌మన్
184016	 కావ
184183	 అంశ
184188	 కొంత
184249	షల్
184442	‌ని
184721	షన్‌
184853	 చక్కెర
185010	దిక
185189	 రెడ్డి
185309	 హీరోయి
185429	 చర్య
185451	 గ్రహ
185641	్రమ
185801	వరకు
185830	 అతి
185846	చ్చి
185994	ృష్ణ
186232	ంట్
186241	తన
186392	రికి
186408	ర్థి
186485	 పూర్తిగా
186503	 కలిసి
186691	‌ర్
186770	 శాఖ
187005	 డే
187398	 మనం
187475	ష్టం
187527	 కోట్ల
188003	 రక్త
188033	డని
188132	 సంఘ
